Date,variable,value
16/04/20,Predicted_R,84333.68192
17/04/20,Predicted_R,88145.99447
18/04/20,Predicted_R,91817.07358
19/04/20,Predicted_R,95341.27562
20/04/20,Predicted_R,98715.32697
21/04/20,Predicted_R,101937.9432
22/04/20,Predicted_R,105009.4805
23/04/20,Predicted_R,107931.6251
24/04/20,Predicted_R,110707.1214
25/04/20,Predicted_R,113339.5394
26/04/20,Predicted_R,115833.0759
27/04/20,Predicted_R,118192.3892
27/01/20,Actual_I,1
28/01/20,Actual_I,4
29/01/20,Actual_I,4
30/01/20,Actual_I,4
31/01/20,Actual_I,5
01/02/20,Actual_I,8
02/02/20,Actual_I,10
03/02/20,Actual_I,12
04/02/20,Actual_I,12
05/02/20,Actual_I,12
06/02/20,Actual_I,12
07/02/20,Actual_I,13
08/02/20,Actual_I,13
09/02/20,Actual_I,14
10/02/20,Actual_I,14
11/02/20,Actual_I,16
12/02/20,Actual_I,16
13/02/20,Actual_I,16
14/02/20,Actual_I,16
15/02/20,Actual_I,16
16/02/20,Actual_I,16
17/02/20,Actual_I,16
18/02/20,Actual_I,16
19/02/20,Actual_I,16
20/02/20,Actual_I,16
21/02/20,Actual_I,16
22/02/20,Actual_I,16
23/02/20,Actual_I,16
24/02/20,Actual_I,16
25/02/20,Actual_I,17
26/02/20,Actual_I,27
27/02/20,Actual_I,46
28/02/20,Actual_I,48
29/02/20,Actual_I,79
01/03/20,Actual_I,130
02/03/20,Actual_I,159
03/03/20,Actual_I,196
04/03/20,Actual_I,262
05/03/20,Actual_I,482
06/03/20,Actual_I,670
07/03/20,Actual_I,799
08/03/20,Actual_I,1040
09/03/20,Actual_I,1176
10/03/20,Actual_I,1457
11/03/20,Actual_I,1908
12/03/20,Actual_I,2078
13/03/20,Actual_I,3675
14/03/20,Actual_I,4585
15/03/20,Actual_I,5795
16/03/20,Actual_I,7272
17/03/20,Actual_I,9257
18/03/20,Actual_I,12327
19/03/20,Actual_I,15320
20/03/20,Actual_I,19848
21/03/20,Actual_I,22213
22/03/20,Actual_I,24873
23/03/20,Actual_I,29056
24/03/20,Actual_I,32986
25/03/20,Actual_I,37323
26/03/20,Actual_I,43938
27/03/20,Actual_I,50871
